"Time (MST)","Coal Aggregate (MW)","Gas Aggregate (MW)","Other Fossil Fuels Aggregate (MW)","Nuclear Aggregate (MW)"
"2016-05-17 00:00:05",3507.41,3054.82,0.0858432,2545.31
"2016-05-17 00:00:15",3506.33,3053.55,0.0858432,2547.65
"2016-05-17 00:00:25",3507.35,3052.28,0.0858432,2547.5
"2016-05-17 00:00:35",3507.12,3055.31,0.0858432,2547.24
"2016-05-17 00:00:45",3506.64,3064.33,0.0858432,2546.97
"2016-05-17 00:00:55",3505.03,3063.24,0.0858432,2546.88
"2016-05-17 00:01:05",3506.22,3062.86,0.0858432,2548.47
"2016-05-17 00:01:15",3507.52,3058.78,0.0858432,2546.45
"2016-05-17 00:01:25",3508.78,3055.21,0.0858432,2545.73
"2016-05-17 00:01:35",3509.69,3055.99,0.0858432,2545.82
"2016-05-17 00:01:45",3510.76,3055.89,0.0858432,2545.8
"2016-05-17 00:01:55",3510.63,3054.35,0.0858432,2544.77
"2016-05-17 00:02:05",3512.34,3049.64,0.0858432,2544.73
"2016-05-17 00:02:15",3514.15,3050.31,0.0858432,2546.14
"2016-05-17 00:02:25",3517.41,3042.63,0.0858432,2545.92
"2016-05-17 00:02:35",3517.58,3038.09,0.0858432,2545.71
"2016-05-17 00:02:45",3517.82,3036.81,0.0858432,2545.49
"2016-05-17 00:02:55",3518.63,3036.41,0.0858432,2545.85
"2016-05-17 00:03:05",3521.79,3035.47,0.0858432,2545.67
"2016-05-17 00:03:15",3523.98,3037.93,0.0858432,2545.71
"2016-05-17 00:03:25",3526.18,3041.95,0.0858432,2545.65
"2016-05-17 00:03:35",3526.68,3046.01,0.0858432,2545.58
"2016-05-17 00:03:45",3528.9,3050.35,0.0858432,2545.52
"2016-05-17 00:03:55",3528.02,3048.08,0.0858432,2545.54
"2016-05-17 00:04:05",3528.74,3043.67,0.0858432,2546.54
"2016-05-17 00:04:15",3528.33,3047.15,0.0858432,2544.98
"2016-05-17 00:04:25",3529.23,3050.84,0.0858432,2545.3
"2016-05-17 00:04:35",3530.49,3051.89,0.0858432,2545.63
"2016-05-17 00:04:45",3532.66,3055.86,0.0858432,2545.94
"2016-05-17 00:04:55",3533.53,3059.36,0.0858432,2545.94
"2016-05-17 00:05:05",3533.99,3060.81,0.0858432,2545.94
"2016-05-17 00:05:15",3531.05,3061.5,0.0858432,2547.46
"2016-05-17 00:05:25",3530.58,3059.32,0.0858432,2548.02
"2016-05-17 00:05:35",3528.85,3057.28,0.0858432,2548.5
"2016-05-17 00:05:45",3528.85,3058.81,0.0858432,2548.51
"2016-05-17 00:05:55",3530.15,3059.94,0.0858432,2548.51
"2016-05-17 00:06:05",3530.44,3060.68,0.0858432,2548.51
"2016-05-17 00:06:15",3528.58,3063.09,0.0858432,2546.87
"2016-05-17 00:06:25",3528.46,3059.68,0.0858432,2545.92
"2016-05-17 00:06:35",3527.52,3062.87,0.0858432,2545.73
"2016-05-17 00:06:45",3528.86,3066.21,0.0858432,2545.55
"2016-05-17 00:06:55",3530.03,3067.96,0.0858432,2545.85
"2016-05-17 00:07:05",3530.44,3066.67,0.0858432,2546.14
"2016-05-17 00:07:15",3529.11,3060.31,0.0858432,2546.33
"2016-05-17 00:07:25",3529.45,3053.97,0.0858432,2546.4
"2016-05-17 00:07:35",3528.48,3055.84,0.0858432,2546.53
"2016-05-17 00:07:45",3529.36,3058.55,0.0858432,2547.1
"2016-05-17 00:07:55",3530.42,3061.28,0.0858432,2547.21
"2016-05-17 00:08:05",3533.04,3064.47,0.0858432,2547.26
"2016-05-17 00:08:15",3530.92,3062.48,0.0858432,2546.48
"2016-05-17 00:08:25",3533.72,3065.43,0.0858432,2545.75
"2016-05-17 00:08:35",3534.44,3071.26,0.0584156,2545
"2016-05-17 00:08:45",3535.86,3076.85,0.0584018,2544.4
"2016-05-17 00:08:55",3535.9,3079.57,0.0583879,2545.3
"2016-05-17 00:09:05",3536.66,3075.66,0.058374,2545.3
"2016-05-17 00:09:15",3532.86,3069.36,0.0583674,2545.62
"2016-05-17 00:09:25",3533.12,3069.84,0.0583674,2545.96
"2016-05-17 00:09:35",3533.22,3070.66,0.0583674,2546.28
"2016-05-17 00:09:45",3533.21,3071.15,0.0583674,2545.9
"2016-05-17 00:09:55",3532.1,3074.37,0.0583674,2545.91
"2016-05-17 00:10:05",3533.25,3077.61,0.0583674,2545.91
"2016-05-17 00:10:15",3535.05,3077.73,0.0583674,2546.54
"2016-05-17 00:10:25",3536.53,3075.81,0.0583674,2546.56
"2016-05-17 00:10:35",3535.77,3068.28,0.0583674,2546.58
"2016-05-17 00:10:45",3534.9,3067.17,0.0583674,2546.59
"2016-05-17 00:10:55",3534.44,3062.24,0.0583674,2546.61
"2016-05-17 00:11:05",3534.48,3053.92,0.0583674,2546.62
"2016-05-17 00:11:15",3533.76,3056.41,0.0583674,2545.15
"2016-05-17 00:11:25",3536.29,3059.31,0.0583674,2544.93
"2016-05-17 00:11:35",3538.23,3060.8,0.0583674,2544.71
"2016-05-17 00:11:45",3540.74,3063.07,0.0583674,2544.51
"2016-05-17 00:11:55",3541.77,3068.09,0.0583674,2544.36
"2016-05-17 00:12:05",3544.18,3077.37,0.0583674,2545.02
"2016-05-17 00:12:15",3546.24,3084.43,0.0583674,2545.82
"2016-05-17 00:12:25",3547.67,3084.63,0.0583674,2546.07
"2016-05-17 00:12:35",3549.33,3086.63,0.0583674,2544.61
