"Time (MST)","Solar Aggregate (MW)","Wind Aggregate (MW)","Other Renewables Aggregate (MW)","Hydro Aggregate (MW)"
"2016-05-20 00:00:05",10.1636,384.692,99.9691,799.119
"2016-05-20 00:00:15",10.1635,384.844,99.9691,798.713
"2016-05-20 00:00:25",10.1643,387.222,99.9691,797.524
"2016-05-20 00:00:35",10.1649,385.327,99.9691,796.195
"2016-05-20 00:00:45",10.165,387.863,99.9691,795.637
"2016-05-20 00:00:55",10.165,389.033,99.9691,796.223
"2016-05-20 00:01:05",10.1651,389.782,99.9691,797
"2016-05-20 00:01:15",10.1651,388.424,99.9691,795.278
"2016-05-20 00:01:25",10.1648,388.282,99.9691,794.59
"2016-05-20 00:01:35",10.1648,387.985,99.9691,793.729
"2016-05-20 00:01:45",10.1647,387.994,99.9691,792.869
"2016-05-20 00:01:55",10.1647,388.245,99.9691,792.009
"2016-05-20 00:02:05",10.1651,388.551,99.9691,791.379
"2016-05-20 00:02:15",10.1656,387.835,99.9691,790.606
"2016-05-20 00:02:25",10.1654,386.818,99.9691,790.052
"2016-05-20 00:02:35",10.1653,387.261,99.9691,789.498
"2016-05-20 00:02:45",10.1653,390.842,99.9691,788.944
"2016-05-20 00:02:55",10.1653,390.357,99.9691,788.39
"2016-05-20 00:03:05",10.165,392.474,99.9691,787.915
"2016-05-20 00:03:15",10.1653,390.231,99.9691,786.435
"2016-05-20 00:03:25",10.1652,387.772,99.9691,785.722
"2016-05-20 00:03:35",10.1653,385.93,99.9691,784.939
"2016-05-20 00:03:45",10.1657,384.367,99.9691,784.246
"2016-05-20 00:03:55",10.1657,384.387,99.9691,783.689
"2016-05-20 00:04:05",10.1641,384.377,99.9691,783.195
"2016-05-20 00:04:15",10.1674,384.152,99.6015,783.121
"2016-05-20 00:04:25",10.1668,385.18,99.6058,782.564
"2016-05-20 00:04:35",10.1666,386.278,99.6062,781.992
"2016-05-20 00:04:45",10.1666,383.575,99.6062,781.423
"2016-05-20 00:04:55",10.1666,383.169,99.6062,780.854
"2016-05-20 00:05:05",10.1663,383.197,99.6062,780.328
"2016-05-20 00:05:15",10.1662,384.268,99.6567,779.778
"2016-05-20 00:05:25",10.1662,385.005,99.6566,775.865
"2016-05-20 00:05:35",10.1661,383.974,99.6565,765.253
"2016-05-20 00:05:45",10.1661,386.437,99.6564,758.068
"2016-05-20 00:05:55",10.1661,385.515,99.6563,760.837
"2016-05-20 00:06:05",10.1682,385.303,99.6562,760.468
"2016-05-20 00:06:15",10.1692,386.423,99.6441,759.254
"2016-05-20 00:06:25",10.1699,384.753,99.6445,759.455
"2016-05-20 00:06:35",10.1705,382.768,99.6449,759.324
"2016-05-20 00:06:45",10.1704,384.697,99.6454,758.747
"2016-05-20 00:06:55",10.1699,385.181,99.6458,758.169
"2016-05-20 00:07:05",10.1685,381.836,99.6462,757.602
"2016-05-20 00:07:15",10.1676,382.929,99.6246,757.008
"2016-05-20 00:07:25",10.1669,381.977,99.6247,756.427
"2016-05-20 00:07:35",10.1666,383.437,99.6247,755.847
"2016-05-20 00:07:45",10.1665,385.518,99.6248,755.267
"2016-05-20 00:07:55",10.1665,383.862,99.6248,754.687
"2016-05-20 00:08:05",10.1674,385.986,99.6248,754.106
"2016-05-20 00:08:15",10.1681,384.042,99.6398,753.833
"2016-05-20 00:08:25",10.1685,384.767,99.6386,753.265
"2016-05-20 00:08:35",10.1687,382.431,99.6375,752.695
"2016-05-20 00:08:45",10.1688,385.239,99.6364,752.126
"2016-05-20 00:08:55",10.1689,384.284,99.6353,751.548
"2016-05-20 00:09:05",10.1666,385.803,99.6348,750.978
"2016-05-20 00:09:15",10.1662,389.512,100.139,749.377
"2016-05-20 00:09:25",10.163,388.621,100.146,748.766
"2016-05-20 00:09:35",10.162,386.908,100.152,748.154
"2016-05-20 00:09:45",10.1691,388.054,100.153,747.542
"2016-05-20 00:09:55",10.1691,387.065,100.153,746.941
"2016-05-20 00:10:05",10.1683,388.733,100.153,746.611
"2016-05-20 00:10:15",10.1702,389.02,100.153,740.85
"2016-05-20 00:10:25",10.1699,388.937,100.153,730.094
"2016-05-20 00:10:35",10.1698,388.801,100.153,714.53
"2016-05-20 00:10:45",10.1696,388.679,100.153,712.247
"2016-05-20 00:10:55",10.1695,387.19,100.153,716.578
"2016-05-20 00:11:05",10.1694,387.171,100.153,715.623
"2016-05-20 00:11:15",10.1694,387.142,100.153,715.623
"2016-05-20 00:11:25",10.1694,387.109,100.153,715.623
"2016-05-20 00:11:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:11:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:11:55",10.1694,387.092,100.153,715.623
"2016-05-20 00:12:05",10.1694,387.151,100.153,715.623
"2016-05-20 00:12:15",10.1694,387.167,100.153,715.623
"2016-05-20 00:12:25",10.1694,387.184,100.153,715.623
"2016-05-20 00:12:35",10.1694,387.176,100.153,715.623
"2016-05-20 00:12:45",10.1694,387.142,100.153,715.623
"2016-05-20 00:12:55",10.1694,387.109,100.153,715.623
"2016-05-20 00:13:05",10.1694,387.108,100.153,715.623
"2016-05-20 00:13:15",10.1694,387.141,100.153,715.623
"2016-05-20 00:13:25",10.1694,387.173,100.153,715.623
"2016-05-20 00:13:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:13:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:13:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:14:05",10.1694,387.154,100.153,715.623
"2016-05-20 00:14:15",10.1694,387.143,100.153,715.623
"2016-05-20 00:14:25",10.1694,387.132,100.153,715.623
"2016-05-20 00:14:35",10.1694,387.12,100.153,715.623
"2016-05-20 00:14:45",10.1694,387.109,100.153,715.623
"2016-05-20 00:14:55",10.1694,387.098,100.153,715.623
"2016-05-20 00:15:05",10.1694,387.092,100.153,715.623
"2016-05-20 00:15:15",10.1694,387.092,100.153,715.623
"2016-05-20 00:15:25",10.1694,387.092,100.153,715.623
"2016-05-20 00:15:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:15:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:15:55",10.1694,387.092,100.153,715.623
"2016-05-20 00:16:05",10.1694,387.092,100.153,715.623
"2016-05-20 00:16:15",10.1694,387.092,100.153,715.623
"2016-05-20 00:16:25",10.1694,387.092,100.153,715.623
"2016-05-20 00:16:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:16:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:16:55",10.1694,387.092,100.153,715.623
"2016-05-20 00:17:05",10.1694,387.175,100.153,715.623
"2016-05-20 00:17:15",10.1694,387.182,100.153,715.623
"2016-05-20 00:17:25",10.1694,387.188,100.153,715.623
"2016-05-20 00:17:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:17:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:17:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:18:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:18:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:18:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:18:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:18:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:18:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:19:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:19:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:19:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:19:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:19:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:19:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:20:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:20:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:20:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:20:35",10.1694,387.176,100.153,715.623
"2016-05-20 00:20:45",10.1694,387.142,100.153,715.623
"2016-05-20 00:20:55",10.1694,387.109,100.153,715.623
"2016-05-20 00:21:05",10.1694,387.092,100.153,715.623
"2016-05-20 00:21:15",10.1694,387.092,100.153,715.623
"2016-05-20 00:21:25",10.1694,387.092,100.153,715.623
"2016-05-20 00:21:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:21:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:21:55",10.1694,387.092,100.153,715.623
"2016-05-20 00:22:05",10.1695,387.092,100.153,715.623
"2016-05-20 00:22:15",10.1695,387.092,100.153,715.623
"2016-05-20 00:22:25",10.1695,387.092,100.153,715.623
"2016-05-20 00:22:35",10.1695,387.092,100.153,715.623
"2016-05-20 00:22:45",10.1695,387.092,100.153,715.623
"2016-05-20 00:22:55",10.1695,387.092,100.153,715.623
"2016-05-20 00:23:05",10.1695,387.092,100.153,715.623
"2016-05-20 00:23:15",10.1694,387.092,100.153,715.623
"2016-05-20 00:23:25",10.1694,387.092,100.153,715.623
"2016-05-20 00:23:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:23:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:23:55",10.1694,387.092,100.153,715.623
"2016-05-20 00:24:05",10.1694,387.169,100.153,715.623
"2016-05-20 00:24:15",10.1694,387.173,100.153,715.623
"2016-05-20 00:24:25",10.1694,387.177,100.153,715.623
"2016-05-20 00:24:35",10.1694,387.181,100.153,715.623
"2016-05-20 00:24:45",10.1694,387.186,100.153,715.623
"2016-05-20 00:24:55",10.1694,387.19,100.153,715.623
"2016-05-20 00:25:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:25:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:25:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:25:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:25:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:25:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:26:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:26:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:26:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:26:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:26:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:26:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:27:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:27:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:27:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:27:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:27:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:27:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:28:05",10.1694,387.192,100.153,715.623
"2016-05-20 00:28:15",10.1694,387.192,100.153,715.623
"2016-05-20 00:28:25",10.1694,387.192,100.153,715.623
"2016-05-20 00:28:35",10.1694,387.192,100.153,715.623
"2016-05-20 00:28:45",10.1694,387.192,100.153,715.623
"2016-05-20 00:28:55",10.1694,387.192,100.153,715.623
"2016-05-20 00:29:05",10.1694,387.112,100.153,715.623
"2016-05-20 00:29:15",10.1694,387.108,100.153,715.623
"2016-05-20 00:29:25",10.1694,387.105,100.153,715.623
"2016-05-20 00:29:35",10.1694,387.102,100.153,715.623
"2016-05-20 00:29:45",10.1694,387.099,100.153,715.623
"2016-05-20 00:29:55",10.1694,387.095,100.153,715.623
"2016-05-20 00:30:05",10.1694,387.092,100.153,715.623
"2016-05-20 00:30:15",10.1694,387.092,100.153,715.623
"2016-05-20 00:30:25",10.1694,387.092,100.153,715.623
"2016-05-20 00:30:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:30:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:30:55",10.1694,387.092,100.153,715.623
"2016-05-20 00:31:05",10.1694,387.092,100.153,715.623
"2016-05-20 00:31:15",10.1694,387.092,100.153,715.623
"2016-05-20 00:31:25",10.1694,387.092,100.153,715.623
"2016-05-20 00:31:35",10.1694,387.092,100.153,715.623
"2016-05-20 00:31:45",10.1694,387.092,100.153,715.623
"2016-05-20 00:31:55",10.1694,387.092,100.153,715.623
