"Time (MST)","Coal Aggregate (MW)","Gas Aggregate (MW)","Other Fossil Fuels Aggregate (MW)","Nuclear Aggregate (MW)"
"2016-05-20 00:00:05",4303.42,2208.54,0.0693577,2511.21
"2016-05-20 00:00:15",4307.76,2215.06,0.0693577,2511.06
"2016-05-20 00:00:25",4310.58,2213.35,0.0693577,2511.33
"2016-05-20 00:00:35",4312.26,2211.14,0.0693577,2511.59
"2016-05-20 00:00:45",4313.73,2213.39,0.0693577,2511.63
"2016-05-20 00:00:55",4312.81,2214.74,0.0693577,2511.17
"2016-05-20 00:01:05",4315.46,2208.34,0.0693577,2510.89
"2016-05-20 00:01:15",4316.18,2205.39,0.0693577,2510.15
"2016-05-20 00:01:25",4315.81,2208.11,0.0693577,2509.73
"2016-05-20 00:01:35",4315.65,2212.07,0.0693577,2509.57
"2016-05-20 00:01:45",4316.87,2221.51,0.0693577,2509.47
"2016-05-20 00:01:55",4316.29,2226.77,0.0693577,2510.98
"2016-05-20 00:02:05",4317.08,2235.28,0.0693577,2511.55
"2016-05-20 00:02:15",4314.6,2242.52,0.0912751,2512.22
"2016-05-20 00:02:25",4314.06,2254.15,0.0912892,2512.1
"2016-05-20 00:02:35",4314.42,2254.33,0.0913033,2510.51
"2016-05-20 00:02:45",4313.69,2257.04,0.0913175,2511.41
"2016-05-20 00:02:55",4312.21,2258.1,0.0913316,2511.54
"2016-05-20 00:03:05",4313.21,2255.77,0.0913383,2510.86
"2016-05-20 00:03:15",4316.3,2264.33,0.0913383,2510.06
"2016-05-20 00:03:25",4317.14,2265.19,0.0913383,2509.97
"2016-05-20 00:03:35",4315.77,2264.85,0.0913383,2509.92
"2016-05-20 00:03:45",4313.6,2265.3,0.0913383,2509.86
"2016-05-20 00:03:55",4312.05,2269.29,0.0913383,2509.86
"2016-05-20 00:04:05",4310.8,2274.07,0.0913383,2509.86
"2016-05-20 00:04:15",4312.35,2278.92,0.0913383,2509.54
"2016-05-20 00:04:25",4313.1,2279.36,0.0913383,2509.43
"2016-05-20 00:04:35",4314.94,2280.14,0.0913383,2509.71
"2016-05-20 00:04:45",4315.18,2278.5,0.0913383,2510.04
"2016-05-20 00:04:55",4314.05,2281.55,0.0913383,2510.07
"2016-05-20 00:05:05",4317.68,2284.49,0.0913383,2510.07
"2016-05-20 00:05:15",4316.62,2291.11,0.0913383,2512.26
"2016-05-20 00:05:25",4316.9,2296.73,0.0913383,2512.53
"2016-05-20 00:05:35",4317.32,2306.77,0.0913383,2512.8
"2016-05-20 00:05:45",4316.37,2313.91,0.0913383,2512.89
"2016-05-20 00:05:55",4315.92,2314.08,0.0913383,2512.68
"2016-05-20 00:06:05",4316.09,2314.17,0.0913383,2513.01
"2016-05-20 00:06:15",4317.83,2316.41,0.0913383,2511.28
"2016-05-20 00:06:25",4317.88,2315.25,0.0913383,2511.28
"2016-05-20 00:06:35",4318.12,2313.43,0.0913383,2511.28
"2016-05-20 00:06:45",4317.83,2311.88,0.0913383,2510.67
"2016-05-20 00:06:55",4318.6,2313.14,0.0913383,2510.04
"2016-05-20 00:07:05",4318.82,2314.31,0.0913383,2510.2
"2016-05-20 00:07:15",4319.88,2322.01,0.0913383,2511.13
"2016-05-20 00:07:25",4317.62,2331.42,0.0913383,2511.43
"2016-05-20 00:07:35",4319.13,2342.64,0.0913383,2511.75
"2016-05-20 00:07:45",4319.48,2348.09,0.0913383,2512.05
"2016-05-20 00:07:55",4319.46,2347.71,0.0913383,2511.03
"2016-05-20 00:08:05",4318.61,2346.63,0.0913383,2510.85
"2016-05-20 00:08:15",4318.35,2341.99,0.0913383,2511.29
"2016-05-20 00:08:25",4318.59,2337.65,0.0913383,2510.98
"2016-05-20 00:08:35",4317.89,2337.79,0.0913383,2510.48
"2016-05-20 00:08:45",4316.21,2338.19,0.0913383,2509.97
"2016-05-20 00:08:55",4317.54,2336.97,0.0913383,2508.83
"2016-05-20 00:09:05",4315.61,2337.48,0.0913383,2510.4
"2016-05-20 00:09:15",4315.3,2337.04,0.0913383,2510.94
"2016-05-20 00:09:25",4312.62,2334.07,0.0913383,2510.05
"2016-05-20 00:09:35",4310.5,2330.71,0.0913383,2509.18
"2016-05-20 00:09:45",4308.88,2332.08,0.0913383,2510.64
"2016-05-20 00:09:55",4308.35,2328.14,0.0913383,2510.82
"2016-05-20 00:10:05",4307.26,2324.69,0.0913383,2510.81
"2016-05-20 00:10:15",4305.31,2325.2,0.0913383,2509.54
"2016-05-20 00:10:25",4306.51,2324.22,0.0913383,2509.22
"2016-05-20 00:10:35",4307.83,2322.42,0.0913383,2509.12
"2016-05-20 00:10:45",4307,2328.61,0.0913383,2509.02
"2016-05-20 00:10:55",4306.55,2331.22,0.0913383,2509.23
"2016-05-20 00:11:05",4306.25,2335.42,0.0913383,2509.94
"2016-05-20 00:11:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:11:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:11:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:11:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:11:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:12:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:12:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:12:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:12:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:12:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:12:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:13:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:13:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:13:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:13:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:13:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:13:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:14:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:14:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:14:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:14:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:14:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:14:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:15:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:15:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:15:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:15:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:15:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:15:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:16:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:16:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:16:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:16:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:16:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:16:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:17:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:17:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:17:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:17:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:17:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:17:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:18:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:18:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:18:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:18:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:18:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:18:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:19:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:19:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:19:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:19:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:19:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:19:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:20:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:20:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:20:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:20:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:20:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:20:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:21:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:21:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:21:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:21:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:21:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:21:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:22:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:22:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:22:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:22:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:22:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:22:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:23:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:23:15",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:23:25",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:23:35",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:23:45",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:23:55",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:24:05",4306.25,2335.73,0.0913383,2509.93
"2016-05-20 00:24:15",4306.25,2335.73,0.0913383,2509.93
