"Time (MST)","Solar Aggregate (MW)","Wind Aggregate (MW)","Other Renewables Aggregate (MW)","Hydro Aggregate (MW)"
"2016-05-17 00:00:05",10.1327,226.452,103.407,533.698
"2016-05-17 00:00:15",10.1318,226.901,103.407,553.529
"2016-05-17 00:00:25",10.131,226.732,103.407,554.805
"2016-05-17 00:00:35",10.1304,226.569,103.407,540.922
"2016-05-17 00:00:45",10.1301,226.426,103.407,544.16
"2016-05-17 00:00:55",10.1301,226.69,103.407,565.455
"2016-05-17 00:01:05",10.1308,226.975,103.407,571.576
"2016-05-17 00:01:15",10.1317,227.258,103.407,564.033
"2016-05-17 00:01:25",10.1322,227.31,103.407,565.618
"2016-05-17 00:01:35",10.1327,227.196,103.407,565.092
"2016-05-17 00:01:45",10.1331,227.048,103.407,562.523
"2016-05-17 00:01:55",10.1334,227.079,103.407,566.703
"2016-05-17 00:02:05",10.1337,227.263,103.307,567.946
"2016-05-17 00:02:15",10.1314,226.98,103.296,566.467
"2016-05-17 00:02:25",10.1311,227.012,103.296,568.182
"2016-05-17 00:02:35",10.1311,227.022,103.297,568.404
"2016-05-17 00:02:45",10.1311,227.029,103.297,567.111
"2016-05-17 00:02:55",10.1308,227.095,103.297,567.207
"2016-05-17 00:03:05",10.1307,226.852,103.297,566.967
"2016-05-17 00:03:15",10.1306,226.825,103.297,567.26
"2016-05-17 00:03:25",10.1308,227.18,103.297,567.125
"2016-05-17 00:03:35",10.131,227.373,103.297,566.99
"2016-05-17 00:03:45",10.1312,226.296,103.297,566.855
"2016-05-17 00:03:55",10.1315,225.385,103.297,566.72
"2016-05-17 00:04:05",10.1309,226.857,103.297,566.643
"2016-05-17 00:04:15",10.1297,227.121,103.297,566.017
"2016-05-17 00:04:25",10.1295,227.371,103.297,566.016
"2016-05-17 00:04:35",10.1292,227.611,103.297,566.016
"2016-05-17 00:04:45",10.1291,228.086,103.297,566.016
"2016-05-17 00:04:55",10.1291,228.413,103.297,566.016
"2016-05-17 00:05:05",10.1297,228.35,103.297,566.016
"2016-05-17 00:05:15",10.13,228.229,102.997,561.593
"2016-05-17 00:05:25",10.1302,228.156,102.997,550.299
"2016-05-17 00:05:35",10.1304,228.055,102.997,534.415
"2016-05-17 00:05:45",10.1306,227.765,102.997,528.731
"2016-05-17 00:05:55",10.1306,227.734,102.997,535.888
"2016-05-17 00:06:05",10.1258,227.829,102.997,535.733
"2016-05-17 00:06:15",10.126,228.434,102.997,534.446
"2016-05-17 00:06:25",10.1255,228.513,102.997,537.827
"2016-05-17 00:06:35",10.1251,228.607,102.997,537.513
"2016-05-17 00:06:45",10.125,228.618,102.997,537.199
"2016-05-17 00:06:55",10.1272,228.748,102.997,536.905
"2016-05-17 00:07:05",10.1292,228.898,102.997,536.679
"2016-05-17 00:07:15",10.1282,228.954,103.25,536.592
"2016-05-17 00:07:25",10.1273,229.027,103.25,536.592
